,Полное наименование учреждения,Полное наименование учреждения 2,Муниципальное образование, Тип населённого пункта,Наименование населенного пункта, Адрес учреждения,Широта,Долгота,Тип подключения (сущ.),"Скорость подключения (сущ.), Мбит/с",Провайдер (сущ.),Тип подключения (план),"Скорость подключения (план), Мбит/с",Дата планируемого подключения,Unnamed: 14
0,МКОО АСОШ,,,,,,,,,,,,,,
1,МКОО ШИЛЯГИНСКАЯ СОШ,,,,,,,,,,,,,,
2,МКОУ 1-ЦОВКРИНСКАЯ ООШ,,,,,,,,,,,,,,
3,МКОУ 2-ЦОВКРИНСКАЯ СОШ,"МОУ""2-Цовкринская СОШ""",Кулинский район,Село,2-я Цовкра,"Республика Дагестан, Кулинский район, с. 2-я Цовкра","42,039997","47,152269",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
4,МКОУ АГАДИНСКАЯ СОШ,МОУ Агадинская СОШ,Гунибский район,Село,Куяда,"Республика Дагестан, Гунибский район, с. Куяда","42,418941","46,814247",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
5,МКОУ Агвалинская СОШ,,,,,,,,,,,,,,
6,МКОУ АДЖИМАЖАГАТЮРТОВСКАЯ СОШ,МОУ Аджимажагатюртовская СОШ,Хасавюртовский район,Село,Аджимажагатюрт,"Республика Дагестан, Хасавюртовский район, с. Аджимажагатюрт","43,349412","46,506883",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
7,МКОУ АДИЛЬЯНГИЮРТОВСКАЯ СОШ,,,,,,,,,,,,,,
8,МКОУ АЗАДОГЛЫНСКАЯ СОШ,"МОУ ""Азадоглынская СОШ""",Магарамкентский район,Село,Азадоглы,"Республика Дагестан, Магарамкентский район, с. Азадоглы","41,829188","48,446082",Спутник,1.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
9,МКОУ Аймакинская СОШ Герг-й район,,,,,,,,,,,,,,
10,МКОУ АЙМАУМАХИНСКАЯ СОШ,"МОУ ""Аймаумахинская СОШ""",Сергокалинский район,Село,Аймаумахи,"Республика Дагестан, Сергокалинский район, с. Аймаумахи","42,364451","47,573457",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
11,МКОУ АКБУЛАТЮРТОВСКАЯ СОШ,МОУ Акбулатюртовская СОШ,Хасавюртовский район,Село,Акбулатюрт,"Республика Дагестан, Хасавюртовский район, с. Акбулатюрт","43,460143","46,387821",Медь,12.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
12,МКОУ АКНАДИНСКАЯ СОШ,МОУ Акнадинская СОШ,Кизилюртовский район,Село,Акнада,"Республика Дагестан, Кизилюртовский район, с. Акнада","43,378836","46,909413",Медь,4.0,"ПАО ""Ростелеком""",ВОЛС,50.0,,
13,МКОУ Акушинская СОШ_1 им. Кирова,,,,,,,,,,,,,,
