Наименование;Адрес;Широта;Долгота;
ГБОУ РД РМЛИ ДОД ;367000, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД МАХАЧКАЛА, ПРОЕЗД АЗИЗА АЛИЕВА 4-Й, 4
ГБОУ РД РЦО ;368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА СВЯЗНАЯ, ДОМ 25
ГБПОУ РД «ДППК» Дербент ;368608, ДАГЕСТАН РЕСП, ДЕРБЕНТ Г, САЛЬМАНА УЛ, 50 А
ГБПОУ РД Автомобильно-дорожный колледж ;367015, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, АЛИ-ГАДЖИ АКУШИНСКОГО ПР-КТ, 13
ГБПОУ РД АГРОКОЛЛЕДЖ г. Даг. Огни ;368670, ДАГЕСТАН РЕСП, ДАГЕСТАНСКИЕ ОГНИ Г, СИГИЗМУНДА АЛЕКСАНДРОВИЧА ЛЕВАНЕВСКОГО УЛ, ДОМ 3 
ГБПОУ РД Буйнакское МУ ;РЕСПУБЛИКА ДАГЕСТАН,Г БУЙНАКСК,УЛ ЛЕНИНА Д 31
"ГБПОУ РД ""ДАГЕСТАНСКИЙ КОЛЛЕДЖ КУЛЬТУРЫ И ИСКУССТВ ИМ. Б. МУРАДОВОЙ""";367030, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, ИРЧИ КАЗАКА УЛ, 14
ГБПОУ РД Дорожно-строительный колледж Хасавюрт ;368006, ДАГЕСТАН РЕСП, ХАСАВЮРТ Г, ЭКСКАВАТОРНАЯ УЛ, ДОМ 2А
ГБПОУ РД ИПК ;368502, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ИЗБЕРБАШ, УЛИЦА А.АБУБАКАРА, 4, -, -
ГБПОУ РД КМИС ИМ.С.ОРДЖОНИКИДЗЕ ;368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА АМЕТ-ХАН СУЛТАНА, 6
ГБПОУ РД КМУ им. А.Алиева ;368304, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА АЗИЗА АЛИЕВА, 4
ГБПОУ РД КНПИТ ;368608, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ДЕРБЕНТ, УЛИЦА Я.СВЕРДЛОВА, 14, Г
ГБПОУ РД КОЛЛЕДЖ СТРОИТЕЛЬСТВА И ДИЗАЙНА ;"367014, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, ПРЖЕВАЛЬСКОГО УЛ, ДОМ 38""А"""
