,Наименование,Адрес,Широта,Долгота,Unnamed: 4
0,ГБОУ РД РМЛИ ДОД ,"367000, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД МАХАЧКАЛА, ПРОЕЗД АЗИЗА АЛИЕВА 4-Й, 4",47.490785,42.963218,
1,ГБОУ РД РЦО ,"368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА СВЯЗНАЯ, ДОМ 25",47.605464,42.905773,
2,ГБПОУ РД «ДППК» Дербент ,"368608, ДАГЕСТАН РЕСП, ДЕРБЕНТ Г, САЛЬМАНА УЛ, 50 А",48.290914,42.048959,
3,ГБПОУ РД Автомобильно-дорожный колледж ,"367015, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, АЛИ-ГАДЖИ АКУШИНСКОГО ПР-КТ, 13",47.467141,42.982104,
4,ГБПОУ РД АГРОКОЛЛЕДЖ г. Даг. Огни ,"368670, ДАГЕСТАН РЕСП, ДАГЕСТАНСКИЕ ОГНИ Г, СИГИЗМУНДА АЛЕКСАНДРОВИЧА ЛЕВАНЕВСКОГО УЛ, ДОМ 3 ",48.193923,42.115189,
5,ГБПОУ РД Буйнакское МУ ,"РЕСПУБЛИКА ДАГЕСТАН,Г БУЙНАКСК,УЛ ЛЕНИНА Д 31",47.117445,42.818971,
6,"ГБПОУ РД ""ДАГЕСТАНСКИЙ КОЛЛЕДЖ КУЛЬТУРЫ И ИСКУССТВ ИМ. Б. МУРАДОВОЙ""","367030, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, ИРЧИ КАЗАКА УЛ, 14",47.498421,42.967572,
7,ГБПОУ РД Дорожно-строительный колледж Хасавюрт ,"368006, ДАГЕСТАН РЕСП, ХАСАВЮРТ Г, ЭКСКАВАТОРНАЯ УЛ, ДОМ 2А",46.611541,43.256227,
8,ГБПОУ РД ИПК ,"368502, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ИЗБЕРБАШ, УЛИЦА А.АБУБАКАРА, 4, -, -",47.861861,42.575055,
9,ГБПОУ РД КМИС ИМ.С.ОРДЖОНИКИДЗЕ ,"368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА АМЕТ-ХАН СУЛТАНА, 6",47.627419,42.857447,
10,ГБПОУ РД КМУ им. А.Алиева ,"368304, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА АЗИЗА АЛИЕВА, 4",47.627562,42.894215,
11,ГБПОУ РД КНПИТ ,"368608, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ДЕРБЕНТ, УЛИЦА Я.СВЕРДЛОВА, 14, Г",48.295675,42.068058,
12,ГБПОУ РД КОЛЛЕДЖ СТРОИТЕЛЬСТВА И ДИЗАЙНА ,"367014, ДАГЕСТАН РЕСП, МАХАЧКАЛА Г, ПРЖЕВАЛЬСКОГО УЛ, ДОМ 38""А""",47.440569,42.977955,
13,ГБПОУ РД Колледж экономики и права ,"368222, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД БУЙНАКСК, УЛИЦА ЛЕНИНА, 64",47.117454,42.813066,
14,ГБПОУ РД КППК ,"368830, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КИЗЛЯР, УЛИЦА ПОБЕДЫ, ДОМ 31",46.716267,43.844122,
15,ГБПОУ РД КСУ г.Хасавюрт ,"368006, ДАГЕСТАН РЕСП, ХАСАВЮРТ Г, МАХАЧКАЛИНСКОЕ Ш, 1 ",46.576336,43.239724,
16,ГБПОУ РД КЭИП ,"368608, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ДЕРБЕНТ, УЛИЦА С.СТАЛЬСКОГО, 26",48.295532,42.051189,
17,ГБПОУ РД ППК им. З.Батырмурзаева ,"368001, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ХАСАВЮРТ, ПРОСПЕКТ ИМАМА ШАМИЛЯ, ДОМ 117",46.58717,43.248478,
18,ГБПОУ РД ППК им. М.М. Меджидова ,"368502, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ИЗБЕРБАШ, УЛИЦА Г.ГУСЕЙХАНОВА, ДОМ 2",47.873997,42.562432,
19,ГБПОУ РД ППК им. Расула Гамзатова ,"368222, ДАГЕСТАН РЕСП, БУЙНАКСК Г, Д.КУМУХСКОГО УЛ, 84",47.117248,42.82809,
20,ГБПОУ РД ПЭК ,"367015, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД МАХАЧКАЛА, ПРОСПЕКТ АЛИ-ГАДЖИ АКУШИНСКОГО, 88",47.420842,42.973984,
21,ГБПОУ РД ТК ,"367000, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД МАХАЧКАЛА, ПЕРЕУЛОК СТУДЕНЧЕСКИЙ, 3",47.496974,42.974096,
22,ГБПОУ РД Электромеханический колледж ,"368830, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КИЗЛЯР, УЛИЦА СОВЕТСКАЯ, 15",46.713733,43.855961,
23,ГБПОУ СК им. Ш.И. Шихсаидова ,"368222, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД БУЙНАКСК, УЛИЦА Р.П. АСКЕРХАНОВА, 3",47.133525,42.822675,
24,"ГКОУ РД ""НАГУРАТЛИНСКАЯ СОШ ГУНИБСКОГО РАЙОНА""","368350, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, ЧОХ С, ДОМ 0",47.031728,42.320914,
25,"ГКОУ РД ""ПЕРВОМАЙСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""","368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ШАБДУХ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 35",46.420757,42.756486,
26,"ГКОУ РД ""АКАРИНСКАЯ ООШ""","368111, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗИЛЮРТОВСКИЙ, СЕЛО ЧОНТАУЛ",46.859701,43.303646,
27,"ГКОУ РД ""АРАДИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА ИМ. ГАЛБАЦОВА Г.К.""","368083, ДАГЕСТАН РЕСП, КУМТОРКАЛИНСКИЙ Р-Н, АДЖИДАДА С, ШКОЛЬНАЯ УЛ, ДОМ 1",47.075188,43.283363,
28,"ГКОУ РД ""БУДЕНОВСКАЯ ООШ АХВАХСКОГО РАЙОНА""","368000, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, БУДЕНОВКА С, д",46.644213,43.354312,
29,"ГКОУ РД ""ДАРАДА-МУРАДИНСКИЙ ЛИЦЕЙ ГЕРГЕБИЛЬСКОГО РАЙОНА""","368083, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КУМТОРКАЛИНСКИЙ, СЕЛО АДЖИДАДА",47.07668,43.28482,
30,"ГКОУ РД ""ДЖУГУТСКАЯ ООШ БОТЛИХСКОГО РАЙОНА""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72",46.882509,43.193898,
31,"ГКОУ РД ""ИНДИРАНСКАЯ СОШ АХВАХСКОГО РАЙОНА""","368995, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, АНЧИХ С, АНЧИХСКАЯ УЛ, ДОМ 2",46.272454,42.608269,
32,"ГКОУ РД ""КАМИЛУХСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КАМИЛУХ С, ДАЛГАТА ОМАРОВА УЛ, ДОМ 27",46.631636,41.909755,
33,"ГКОУ РД ""КРАСНОСЕЛЬСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, 4, А",46.865477,43.199373,
34,"ГКОУ РД ""НАНИБИКАНСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""","368921, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАНИБИКА С, д",46.869097,43.607696,
35,"ГКОУ РД ""НАРЫШСКАЯ ООШ ГУМБЕТОВСКОГО РАЙОНА""","368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАРЫШ С, ул",46.696189,43.527066,
36,"ГКОУ РД ""НОВОБУХТЫНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГУНИБСКОГО РАЙОНА""","368355, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, БУХТЫ С, 0",46.984962,42.240511,
37,"ГКОУ РД ""НОВОДАНУХСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""","368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ДАНУХ С, д",46.628348,42.842827,
38,"ГКОУ РД ""НОВОХУШТАДИНСКАЯ СОШ ЦУМАДИНСКОГО РАЙОНА""","368904, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУМАДИНСКИЙ, СЕЛО ХУШТАДА, УЛИЦА АЭРОФЛОТСКАЯ, ДОМ 47",46.166695,42.518004,
39,"ГКОУ РД ""НОВОЦОЛОДИНСКАЯ СОШ АХВАХСКОГО РАЙОНА""","368016, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, ХАМАВЮРТ С, д",46.427539,43.270387,
40,"ГКОУ РД ""КГИ ""КУЛЬТУРА МИРА""","368830, ДАГЕСТАН РЕСП, КИЗЛЯР Г, ЦИОЛКОВСКОГО УЛ, 1, А",46.73081,43.835065,
41,"ГКОУ РД ""КСОШИ""","368880, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТАРУМОВСКИЙ, СЕЛО КОЧУБЕЙ, ПЕРЕУЛОК ИНТЕРНАТСКИЙ, 3",46.556312,44.389743,
42,"ГКОУ РД ""АЙТХАНСКАЯ СОШ БОТЛИХСКОГО РАЙОНА""","368977, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АШАЛИ",46.307407,42.76836,
43,"ГКОУ РД ""АРКИДИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""","368015, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО КАЗМААУЛ, УЛИЦА МОЛОЧНАЯ, ДОМ 4",46.7627,43.429341,
44,"ГКОУ РД ""БАБАЮРТОВСКАЯ СШИ №11""","368060, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БАБАЮРТОВСКИЙ, СЕЛО БАБАЮРТ, УЛИЦА ШПИГУНА, ДОМ 7",46.779256,43.604184,
45,"ГКОУ РД ""БСШИ ИМ. М. Г. ГАМЗАТОВА""","368101, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, БАВТУГАЙ ПГТ, ИНТЕРНАТСКАЯ УЛ",46.840135,43.171442,
46,"ГКОУ РД ""БСШИ №3""","368222, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД БУЙНАКСК, УЛИЦА ЛЕСНАЯ",47.10071,42.79989,
47,"ГКОУ РД ""БСШИ №7""","368222, ДАГЕСТАН РЕСП, БУЙНАКСК Г, В.МАРИЕНКО УЛ, 5",47.117948,42.808072,
48,"ГКОУ РД ""ГГИМХО""","368300, ДАГЕСТАН РЕСП, КАСПИЙСК Г, ОРДЖОНИКИДЗЕ УЛ, 6",47.632467,42.886408,
49,"ГКОУ РД ""ГО ШИ №2""","368300, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД КАСПИЙСК, УЛИЦА ОКТЯБРЬСКАЯ, 9",47.632584,42.880231,
50,"ГКОУ РД ""ГОРЬКОВСКАЯ ООШ УНЦУКУЛЬСКОГО РАЙОНА""","368015, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, КАЗМААУЛ С, УЛ",46.7627,43.429341,
51,"ГКОУ РД ""ДЖУРМУТСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГЕРЕЛЬ",46.551884,41.944384,
