Район;Тип н п;Наименование нас пункта;Наименование;Адрес;ИНН;Контакты;Широта;Долгота;Тип учреждения;Тип подключения (сущ);Скорость подключения (сущ);Тип подключения (план);Скорость подключения (план)
Каякентский район;Село;Утамыш;МКОУ УТАМЫШСКАЯ СОШ  ;Республика Дагестан, Каякентский район, с. Утамыш;;;42,407795;47,751609;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Докузпаринский район;Село;Авадан;МКОУ Аваданская СОШ ;Республика Дагестан, Докузпаринский район, с. Авадан, Ленина, 32 ;;;41,555987;48,201969;Общеобразовательная организация;Медь;5.0;ВОЛС;50.0
Кизлярский район;Село;Аверьяновка;МКОУ Аверьяновская СОШ Кизляр. р-он ;Республика Дагестан, Кизлярский район, с. Аверьяновка,ул. Пархоменко, д. 2;;;43,844395;46,757935;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Карабудахкентский район;Село;Агачаул;МКОУ АГАЧАУЛЬСКАЯ СОШ ;Республика Дагестан, Карабудахкентский район, с. Агачаул, ул. 1-Линия, 88;;;42,9254;47,4633;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;Агачкала;МКОУ Агачкалинская СОШ ;Республика Дагестан, Буйнакский район, с. Агачкала.;;;42,767825;47,075226;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Село;Аглоби;МКОУ АГЛОБИНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Аглоби, ул. Школьная, 8;;;41,54;48,2;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Карабудахкентский район;Село;Аданак;МКОУ АДАНАКСКАЯ СОШ ;Республика Дагестан, Карабудахкентский район, с. Аданак, ул. Ленина, 23А;;;42,752772;47,455345;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Кумторкалинский район;Село;Аджидада;МКОУ АДЖИДАДИНСКАЯ СОШ ;Республика Дагестан, Кумторкалинский район, с. Аджидада;;;43,284804;47,076661;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Адильотар;МКОУ АДИЛЬОТАРСКАЯ СОШ ;Республика Дагестан, Хасавюртовский район, с. Адильотар, ул. Гусейнова, 2;;;43,462724;46,675329;Общеобразовательная организация;Медь;12.0;ВОЛС;50.0
Буйнакский район;Село;Акайтала;МКОУ Акайталинская СОШ ;Республика Дагестан, Буйнакский район, с. Акайтала;;;43,031405;46,925637;Общеобразовательная организация;Спутник;1.0;ВОЛС;50.0
Табасаранский район;Село;Акка;МКОУ АККИНСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Акка, ул. Аккинская, 97;;;41,551447;47,561098;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Хасавюртовский район;Село;Аксай;МКОУ АКСАЕВСКАЯ ШКОЛА - ИНТЕРНАТ ;Республика Дагестан, Хасавюртовский район, с. Аксай, ул. Интернатская, 1;;;43,373812;46,44049;Общеобразовательная организация;Медь;12.0;ВОЛС;50.0
Хасавюртовский район;Село;Аксай;МКОУ АКСАЙСКАЯ СОШ №1 ;Республика Дагестан, Хасавюртовский район, с. Аксай, ул. Виноградная, 1 ;;;43,367646;46,449188;Общеобразовательная организация;Медь;12.0;ВОЛС;50.0
Хасавюртовский район;Село;Аксай;МКОУ АКСАЙСКАЯ СОШ №2 ;Республика Дагестан, Хасавюртовский район, с. Аксай, ул. А.Салаватова, 16;;;43,369113;46,445524;Общеобразовательная организация;Медь;12.0;ВОЛС;50.0
Акушинский район;Село;Акуша;МКОУ АКУШИНСКАЯ СОШ №2 ;Республика Дагестан, Акушинский район, с. Акуша, ул. Алигаджи Акушинского, д. 71;;;42,16407;47,202481;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Ботлихский район;Село;Алак;МКОУ АЛАКСКИЙ ЛИЦЕЙ ;Республика Дагестан, Ботлихский район с. Алак, ул. Центральная, 71/1;;;42,636534;46,205833;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Сулейман-Стальский район;Село;Алкадар;МКОУ АЛКАДАРСКАЯ СОШ ;Республика Дагестан, Сулейман-стальский район, с. Алкадар, ул. Школьная, 5;;;41,713481;48,08512;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Кумторкалинский район;Село;Алмало;МКОУ АЛМАЛИНСКАЯ СОШ ;Республика Дагестан, Кумторкалинский район, с. Алмало, ул. Школьная, д. 1;;;43,092546;47,092546;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Каякентский район;Село;Алхаджикент;МКОУ АЛХОДЖАКЕНТСКАЯ СОШ ;Республика Дагестан, Каякентский район, с. Алхаджикент;;;42,340181;47,792408;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;Апши;МКОУ Апшинская СОШ ;Республика Дагестан, Буйнакский район, с. Апши, ул. Магомеда Гаджиева, д. 31;;;42,611219;47,174624;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Дербентский район;Село;Араблинское;МКОУ АРАБЛИНСКАЯ СОШ ;Республика Дагестан, Дербентский район, с. Араблинcкое, ул. Вокзальная, 14;;;41,58;48,19;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;Арахкент;МКОУ Арахкентская СОШ ;Республика Дагестан, Буйнакский район, с. Арахкент;;;42,643699;47,197424;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Гумбетовский район;Село;Аргвани;МКОУ АРГВАНИНСКАЯ СОШ ;Республика Дагестан, Гумбетовский район, с. Аргвани, ул. Мухтарахмеда Курамагомедова, д. 2;;;42,4825;46,3449;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Буйнакский район;Село;Аркас;МКОУ АРКАССКАЯ ООШ ;Республика Дагестан, Буйнакский район, с. Аркаc, ул. И.Шамиля, 1;;;42,65045;47,13971;Общеобразовательная организация;Медь;15.0;ВОЛС;50.0
Табасаранский район;Село;Аркит;МКОУ АРКИТСКАЯ СОШ ;Республика Дагестан, Табасаранский район, с. Аркит, ул. Аркитская, 107;;;41,565081;48,05301;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
Агульский район;Село;Арсуг;МКОУ АРСУГСКАЯ СОШ ;Республика Дагестан, Агульский район, с. Арсуг;;;41,86461;47,650153;Общеобразовательная организация;Медь;4.0;ВОЛС;50.0
