Муниципальное образование;Тип населённого пункта;Наименование населенного пункта;Адрес учреждения;Широта;Долгота;Полное наименование учреждения;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с
Кизлярский район;Село;Черняевка;Республика Дагестан, Кизлярский район, с. Черняевка, ПМК-5;43,943567;47,001603;"
ГКОУ РД ""Общеобразовательная Школа-Интернат с.Черняевка""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Сулейман-Стальский район;Село;Куркент;Республика Дагестан, Сулейман-стальский район, с. Куркент, ул. Ленина, 20;41,712025;48,115471;  МКОУ «Куркентская СОШ №1 им.М.Рагимова»;Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Тарумовский район;Село;Кочубей;Республика Дагестан, Тарумовский район, с. Кочубей, пер. Интернатский, 3;43,232244;46,332313;" ГКОУ РД ""Кочубейская средняя общеобразовательная школа-интернат""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Ахвахский район;Село;Карата;Республика Дагестан, Ахвахский район, с. Карата, ул.Бокохинская, д.9а;42,595556;46,335833;" МБОУ ""Каратинская гимназия""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Городской округ город Махачкала;Поселок городского типа;Сулак;Республика Дагестан, г. Махачкала, пгт. Сулак, ул. Советская, 2;43,271800;47,515800;" МБОУ ""СОШ №21""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Каспийск;Город;Каспийск;Республика Дагестан, г. Каспийск, ул. Дахадаева 78;42,876669;47,630873;" МБОУ ""СОШ №3 им. Гаджибекова А.И""";Медь;10;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Город;Н.Кяхулай;Республика Дагестан, г. Махачкала, п. Н. Кяхулай, ул. Абдулаева, 74/А;42,936900;47,515400;" МБОУ ""СОШ №48""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Городской округ город Махачкала;Поселок городского типа;Шамхал;Республика Дагестан, г. Махачкала, пгт. Шамхал, ул. Батырая, 4;43,053300;47,330600;" МБОУ ""СОШ №49""";Медь;15;"ПАО ""Ростелеком""";ВОЛС;100
Буйнакский район;Село;Чиркей;Республика Дагестан, Буйнакский район, с. Чиркей, ул.Имама Шамиля 30;42,960570;46,981600;" МБОУ ""Чиркейский образовательный центр им.А.Омарова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Акушинский район;Село;Акуша;Республика Дагестан, Акушинский район, с. Акуша, ул.Алигаджи Акушинского, д.70;42,161198;47,205512;" МКОУ "" Акушинская СОШ №1 им. С.М. Кирова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Хивский район;Село;Ашага-Архит;Республика Дагестан, Хивский район, с. Ашага-Архит, ул. Манатилова, 1;41,441159;47,582145;" МКОУ ""Архитская СОШ им. С.А. Аллахвердиева""";Спутник;1;"ПАО ""Ростелеком""";ВОЛС;50
Дербентский район;Поселок;Белиджи;Республика Дагестан, Дербентский район, п. Белиджи ул. А.Исрафилова, 28;41,520000;48,220000;" МКОУ ""Белиджинская гимназия №1""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Буртунай;Республика Дагестан, Казбековский район, с. Буртунай, ул. Гаджиева Узайри , д. 2;42,990200;46,630700;" МКОУ ""Буртунайская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Дербентский район;Село;Великент;Республика Дагестан, Дербентский район, с. Великент , ул. Джавадова, 3;42,112813;48,041579;" МКОУ ""Великентская СОШ им. Гереева У. А.""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Новолакский район;Село;Гамиях;Республика Дагестан, Новолакский район, с. Гамиях, ул. Четырнадцатая, 9;43,208069;46,486702;" МКОУ ""Гамияхская СОШ №2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Поселок городского типа;Дубки;Республика Дагестан, Казбековский район, пгт. Дубки, 1 квартал, д.2;43,018988;46,837280;" МКОУ ""Дубкинская СОШ им. М. Салимханова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;100
Новолакский район;Село;Дучи;Республика Дагестан, Новолакский район, с. Дучи, ул. Маркинская, 2;43,130597;47,459084;" МКОУ ""Дучинская СОШ №2""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Казбековски;Республика Дагестан, Казбековский район, с. Калининаул,  ул.Школьная 1-я, д.10;43,069431;46,565208;" МКОУ ""Калининаульская НОШ""";Отсутствует;0;Отсутствует;ВОЛС;50
Буйнакский район;Село;Карамахи;Республика Дагестан, Буйнакский район, с. Карамахи, ул. Школьная, 1;42,617523;47,257220;" МКОУ ""Карамахинская СОШ им. А. К. Атаева""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Кизилюртовский район;Село;Комсомольское;Республика Дагестан, Кизилюртовский район, с. Комсомольское, ул. Кавказская, 45;43,194409;46,901033;" МКОУ ""Комсомольская СОШ им. Гаджиева Н.О.""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Курахский район;Село;Курах;Республика Дагестан, Курахский район, с. Курах, ул. Школьная, 4;41,340000;47,470000;" МКОУ ""Курахская СОШ №1 """;Медь;15;"ПАО ""Ростелеком""";ВОЛС;50
Казбековский район;Село;Ленинаул;Республика Дагестан, Казбековский район, с. Ленинаул, ул. Г.Губаханова, д. 32;43,087590;46,570337;" МКОУ ""Ленинаульская СОШ №2 им. героя Российской Федерации Юрия Салимханова""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Гергебильский район;Село;Маали;Республика Дагестан, Гергебильский район, с. Маали, ул. Школьная, 9;42,298820;46,551306;" МКОУ ""Маалинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
Левашинский район;Село;Мусультемахи;Республика Дагестан, Левашинский район с. Мусультемахи, ул. Школьная, 1;42,363334;47,188695;" МКОУ ""Мусультемахинская СОШ""";Медь;4;"ПАО ""Ростелеком""";ВОЛС;50
