Наименование;ИНН;Адрес;
МКОУ 'ТЛЯРАТИНСКАЯ СОШ' ИМ. А.С.САЙПУЛАЕВА;0532000523;Российская Федерация,368420,Дагестан Респ,Тляратинский р-н,Тлярата с
МОКУ 'С(К)ОШ № 10 (VIIIВИДА)';0545021915;Российская Федерация,368301,Дагестан Респ,Каспийск г,УЛ ТРУДОВАЯ,11/Б
МОУ 'ГЕНУХСКАЯ СОШ' ИМ.ТАГИРОВА АБДУЛКАРИМА РАМАЕВИЧА;0538001594;Российская Федерация,368412,Дагестан Респ,Цунтинский р-н,Генух с
МОУ 'АХАЛЧИНСКАЯ СОШ';0536006318;Российская Федерация,368264,Дагестан Респ,Хунзахский р-н,Ахалчи с,УЛ АХАЛЧИНСКАЯ,ДОМ 33
МКОУ 'ШУШАНОВСКАЯ СОШ';0516008363;Российская Федерация,368105,Дагестан Респ,Кизилюртовский р-н,Шушановка с
МКОУ 'СУЛТАНЯНГИЮРТОВСКАЯ СОШ №2';0516010940;Российская Федерация,368108,Дагестан Респ,Кизилюртовский р-н,Султанянгиюрт с,УЛ БУГАНОВА,1/А
МКОУ 'МАЦЕЕВСКАЯ СОШ';0516008148;Российская Федерация,368109,Дагестан Респ,Кизилюртовский р-н,Мацеевка с
МКОУ 'КУЛЬЗЕБСКАЯ СОШ';0516008324;Российская Федерация,368114,Дагестан Респ,Кизилюртовский р-н,Кульзеб с,УЛ МЕЛИОРАТИВНАЯ,Б/Н
МОУ 'КОМСОМОЛЬСКАЯ СОШ' ИМЕНИ ГАДЖИЕВА Н.О;0516008349;Российская Федерация,368118,Дагестан Респ,Кизилюртовский р-н,Комсомольское с,УЛ КАВКАЗСКАЯ,ДОМ 45
МКОУ 'КИРОВАУЛЬСКАЯ СОШ';0516008268;Российская Федерация,368112,Дагестан Респ,Кизилюртовский р-н,Кироваул с,0
МКОУ 'ЗУБУТЛИ-МИАТЛИНСКАЯ СОШ';0516008116;Российская Федерация,368115,Дагестан Респ,Кизилюртовский р-н,Зубутли-Миатли с
МКОУ 'АКНАДИНСКАЯ СОШ';0516008099;Российская Федерация,368110,Дагестан Респ,Кизилюртовский р-н,Акнада с
МКОУ 'СТАЛЬСКАЯ СОШ № 3';0516008204;Российская Федерация,368105,Дагестан Респ,Кизилюртовский р-н,Стальское с
МКОУ 'НОВОЧУРТАХСКАЯ СОШ №2';0524005126;Российская Федерация,368166,Дагестан Респ,Новолакский р-н,Новочуртах с,УЛИЦА ШКОЛЬНАЯ,ДОМ 1
МКОУ 'НОВОЧИРКЕЙСКАЯ СОШ №1';0516008170;Российская Федерация,368106,Дагестан Респ,Кизилюртовский р-н,Новый Чиркей с,0
МКОУ 'МАЧАДИНСКАЯ СОШ';0528005769;Российская Федерация,368436,Дагестан Респ,Шамильский р-н,Мачада с
МКДОУ 'ГУРХУНСКИЙ ДЕТСКИЙ САД 'РАДУГА';0530010501;Российская Федерация,368641,Дагестан Респ,Табасаранский р-н,Гурхун с,УЛИЦА ЦЕНТРАЛЬНАЯ,ДОМ 40
'МКОУ НОШ' С. НИЖНЕ АРШИ;0521008866;Российская Федерация,368313,Дагестан Респ,Левашинский р-н,Нижний Арши с,УЛ ЦЕНТРАЛЬНАЯ,ДОМ 1
МКОУ 'Левашинская ВОШ';0521013048;Российская Федерация,368320,Дагестан Респ,Левашинский р-н,Леваши с
