Наименование ДОО;Январь;Итог
МКДОУ Д/сад Белоснежка с.Дулдуг;29;
МКДОУ Д/сад Колосок, с.Буртихан;24;
МКДОУ Д/сад Радуга, с.Хутхул;36;
МКДОУ Д/сад Сказка Рича;25;
МКДОУ Д/сад Солнышко с.Тпиг ;146;
МКДОУ Детский сад 'Улыбка', с. Фите ;22;
МУДОУ 'Детский сад 'Родничок', с.Худиг ;26;
МБДОУ 'Акушинский детский сад';262;
МБДОУ Тебекмахинский детский сад  ;110;
МБДОУ Усишинский детский сад №1;60;
МБДОУ Усишинский детский сад №2;60;
МКДОУ 'Верхне-Мулебкинский детский сад';34;
МКДОУ 'Гапшиминский детский сад';60;
МКДОУ Мугинский детский сад;60;
МБДОУ Изанинский детский сад 'Орленок';32;
МБДОУ Ингердахский детский сад 'Радость';48;
МБДОУ Каратинский детский сад 'Солнышко';136;
МБДОУ Каратинский детский сад 'Улыбка';63;
МБДОУ Кудияб-росинский детский сад 'Ласточка';60;
МБДОУ Лологонитлинский детский сад 'Тархо';40;
МБДОУ Местерухский детский сад;36;
МБДОУ Тадмагитлинский детский сад 'Орленок';100;
МБДОУ Тлибишинский детский сад 'Соколенок';54;
МБДОУ Тукитинский детский сад 'Радуга';44;
МБДОУ Цолодинский детский сад 'Улыбка';39;
МКДОУ ДС 'Орленок' с.Кака ;80;
МКОУ ДО Хрюгский детский сад Соколенок;80;
МКОУ ДОД №3 Ахтынский д/с Рассвет;59;
МКУ ДОД Ахтынский детский сад Солнышко;137;
МКУ ДОД Ахтынский детский сад Юный космонавт;250;
МКДОУ детский сад  'Дружба', с.Бабаюрт;104;
МКДОУ детский сад 'Буратино', с.Уцмиюрт(120 м) ;120;
МКДОУ детский сад 'Ласточка', с. Татаюрт;100;
МКДОУ детский сад Радуга, с.Хасанай;72;
МКДОУ детский сад 'Сказка', с.Хамаматюрт;100;
МКДОУ детский сад 'Соколенок', с.Геметюбе;58;
МКДОУ дет-ясли 'Ёлочка', с.Бабаюрт;73;
МКДОУ ясли- сад Солнышко, с.Бабаюрт;180;
МКОУ Прогимназия 'Орленок', с.Бабаюрт;188;
МКОУ «Кванхидатлинская ООШ»  (ГКП) деят.приост.;6;
МКОУ «Кижанинская ООШ» (гкп) деят.приост.;8;
МКОУ «Миарсинская СОШ» (ГКП) деят.приост.;8;
МКОУ «Нижне-Инхеловская ООШ»  (ГКП) деят.приост.;13;
МКОУ «Ортоколинская СОШ» (ГКП) деят.приост.;7;
МКОУ «Рикванинская СОШ» (ГКП) деят.приост.;10;
МКОУ «Тасутинская ООШ им. М.Асадулаева» (ГКП) деят. приост.;0;
МКОУ «Хелетуринская СОШ»  (ГКП) деят.приост.;5;
МКОУ «Чанковская СОШ» (ГКП) деят.приост.;6;
МКДОУ «Аист» с.Ансалта;144;
МКДОУ «Журавлик» с.Шодрода;24;
МКДОУ «Звездочка» с.Тандо;36;
МКДОУ «Ласточка» с.Рахата;165;
МКДОУ «Орленок» с.Гагатли;87;
МКДОУ «Орленок» с.Зило;20;
МКДОУ «Радуга» с.Тлох;78;
МКДОУ «Ромашка» с.Алак;43;
МКДОУ «Светлячок» с.Анди;114;
МКДОУ «Сказка» с.Ашали;20;
МКДОУ «Солнышко» с.Ботлих;199;
МКДОУ «Улыбка» с.Муни;82;
МКДОУ «Чебурашка» с.Ботлих;185;
МКДОУ 'Детсад 'Теремок', с.Годобери ;68;
МКДОУ Детский сад 'Золотой ключик', с.Ботлих  ;80;
МКДОУ 'Детский сад 'Родничок', с.Ботлих ;130;
МБДОУ 'Гёбелек' с.Халимбекаул;247;
МБДОУ 'Детский сад 'Берхи',  с. Чанкурбе ;47;
МБДОУ 'Журавлик', с. Халимбекаул ;87;
МБДОУ 'Пчёлка', с.Карамахи ;136;
МБДОУ 'Радуга' с.Верхнее Казанище;183;
МБДОУ 'Ромашка' с. Буглен;116;
МБДОУ 'Сказка' с.Нижнее Казанище ;339;
МБДОУ 'Солнышко' с.Нижнее Казанище;140;
МБДОУ 'Улыбка' с. Чиркей;213;
МБДОУ 'Юлдуз' с.Нижний Дженгутай;190;
МБОУ 'Чиркейский образовательный центр им.А.Омарова';68;
МКДОУ 'Ласточка' с.Атланаул;107;
МКДОУ 'Ласточка' с.Манасаул;42;
МКДОУ 'Радуга' с.Нижнее Казанище;124;
МКДОУ 'Родничок' с.Эрпели;96;
МКДОУ 'Теремок' с.Апши;56;
МКДОУ 'Яшлыкъ' с.Новый Кумух (Кафыркумух);79;
