,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
0,МКДОУ Дсад Белоснежка с.Дулдуг,29.0,,,
1,МКДОУ Дсад Колосок с.Буртихан,24.0,,,
2,МКДОУ Дсад Радуга с.Хутхул,36.0,,,
3,МКДОУ Дсад Сказка Рича,25.0,,,
4,МКДОУ Дсад Солнышко с.Тпиг ,146.0,,,
5,МКДОУ Детский сад Улыбка с. Фите ,22.0,,,
6,МУДОУ Детский сад Родничок с.Худиг ,26.0,,,
7,МБДОУ Акушинский детский сад,262.0,,,
8,МБДОУ Тебекмахинский детский сад  ,110.0,,,
9,МБДОУ Усишинский детский сад №1,60.0,,Муниципальная,60.0
10,МБДОУ Усишинский детский сад №2,60.0,,Муниципальная,60.0
11,МКДОУ ВерхнеМулебкинский детский сад,34.0,,,
12,МКДОУ Гапшиминский детский сад,60.0,,,
13,МКДОУ Мугинский детский сад,60.0,,Муниципальная,60.0
14,МБДОУ Изанинский детский сад Орленок,32.0,,,
15,МБДОУ Ингердахский детский сад Радость,48.0,,,
16,МБДОУ Каратинский детский сад Солнышко,136.0,,,
17,МБДОУ Каратинский детский сад Улыбка,63.0,,,
18,МБДОУ Кудиябросинский детский сад Ласточка,60.0,,,
19,МБДОУ Лологонитлинский детский сад Тархо,40.0,,,
20,МБДОУ Местерухский детский сад,36.0,,Муниципальная,36.0
21,МБДОУ Тадмагитлинский детский сад Орленок,100.0,,,
22,МБДОУ Тлибишинский детский сад Соколенок,54.0,,,
23,МБДОУ Тукитинский детский сад Радуга,44.0,,,
24,МБДОУ Цолодинский детский сад Улыбка,39.0,,,
25,МКДОУ ДС Орленок с.Кака ,80.0,,,
26,МКОУ ДО Хрюгский детский сад Соколенок,80.0,,Муниципальная,80.0
27,МКОУ ДОД №3 Ахтынский дс Рассвет,59.0,,,
28,МКУ ДОД Ахтынский детский сад Солнышко,137.0,,Муниципальная,137.0
29,МКУ ДОД Ахтынский детский сад Юный космонавт,250.0,,Муниципальная,250.0
30,МКДОУ детский сад  Дружба с.Бабаюрт,104.0,,,
31,МКДОУ детский сад Буратино с.Уцмиюрт120 м ,120.0,,,
32,МКДОУ детский сад Ласточка с. Татаюрт,100.0,,,
33,МКДОУ детский сад Радуга с.Хасанай,72.0,,,
34,МКДОУ детский сад Сказка с.Хамаматюрт,100.0,,,
35,МКДОУ детский сад Соколенок с.Геметюбе,58.0,,,
36,МКДОУ детясли лочка с.Бабаюрт,73.0,,,
37,МКДОУ ясли сад Солнышко с.Бабаюрт,180.0,,,
38,МКОУ Прогимназия Орленок с.Бабаюрт,188.0,,,
39,МКОУ Кванхидатлинская ООШ  ГКП деят.приост.,6.0,,,
40,МКОУ Кижанинская ООШ гкп деят.приост.,8.0,,,
41,МКОУ Миарсинская СОШ ГКП деят.приост.,8.0,,,
