,Наименование ДОО,Январь_x,Итог,Тип собственности,Январь_y
0,МКДОУ Большеарешевский детский сад,52.0,,Муниципальная,52.0
1,МКДОУ Пролетарский детский сад,56.0,,Муниципальная,56.0
2,МКДОУ Цветковский детский сад,104.0,,Муниципальная,104.0
3,МКДОУ Октябрьский детский сад,48.0,,Муниципальная,48.0
4,МКДОУ Яснополянский детский сад,40.0,,Муниципальная,40.0
5,МКДОУ Юбилейный детский сад,89.0,,Муниципальная,89.0
6,МКДОУ Черняевский детский сад,69.0,,Муниципальная,69.0
7,МКДОУ Новокохановский детский сад,42.0,,Муниципальная,42.0
8,МКДОУ Малоарешевский детский сад,60.0,,Муниципальная,60.0
9,МКДОУ Крайновский детский сад,45.0,,Муниципальная,45.0
10,МКДОУ Косякинский детский сад,53.0,,Муниципальная,53.0
11,МКДОУ Коллективизаторский детский сад,19.0,,Муниципальная,19.0
12,МКДОУ Кардоновский детский сад,80.0,,Муниципальная,80.0
13,МКДОУ Журавлик с. им. Жданова,,,Муниципальная,109.0
14,МКДОУ Большезадоевский детский сад,40.0,,Муниципальная,40.0
15,МКДОУ Александрийский детский сад,100.0,,Муниципальная,100.0
16,МКДОУ Аверьяновский детский сад,101.0,,Муниципальная,101.0
17,МКДОУ Победовский детский сад,59.0,,Муниципальная,59.0
18,МКДОУ ДС №4 Светлячок с. Янгикент,22.0,,Муниципальная,22.0
19,МКДОУ ДС №5 Ромашка с.Маджалис,,,Муниципальная,132.0
20,МКДОУ ДС №3 Ручеек с.Маджалис,146.0,,Муниципальная,146.0
21,МКДОУ ДС №2 Родничок с.Маджалис,148.0,,Муниципальная,148.0
22,МКОУ Сурхачинская СОШ ГКП деят. приост.,0.0,,Муниципальная,0.0
23,МКДОУ ДС №1  Улыбка с. Маджалис,119.0,,Муниципальная,119.0
24,МКДОУ Тидибский детский сад,42.0,,Муниципальная,42.0
25,МКДОУ Ассабский детский сад,26.0,,Муниципальная,26.0
26,МКДОУ Ругельдинский детский сад,16.0,,Муниципальная,16.0
27,МКДОУ Хебдинский детский сад,145.0,,Муниципальная,145.0
28,МКДОУ Гентинский детский сад,18.0,,Муниципальная,18.0
29,МКДОУ Хотодинская СОШ,25.0,,Муниципальная,25.0
30,МКОУ Мачадинская СОШ им. Унжолова Б.М.,20.0,,Муниципальная,20.0
31,МКДОУ Могохский детский сад,20.0,,Муниципальная,20.0
32,МКДОУ Батлухский детский сад,50.0,,Муниципальная,50.0
33,МКДОУ Хучадинский детский сад,17.0,,Муниципальная,17.0
34,МКДОУ Урибский детский сад,18.0,,Муниципальная,18.0
35,МКДОУ Урадинский детский сад,29.0,,Муниципальная,29.0
36,МКДОУ Тляхский детский сад,30.0,,Муниципальная,30.0
37,МКДОУ Телетлинский детский сад,41.0,,Муниципальная,41.0
38,МКДОУ Сомодинский детский сад,14.0,,Муниципальная,14.0
39,МКДОУ Кахибский детский сад,34.0,,Муниципальная,34.0
40,МКДОУ Гоорский детский сад,28.0,,Муниципальная,28.0
41,МКДОУ Верхнебатлухский детский сад,25.0,,Муниципальная,25.0
42,МКДОУ Андыхский детский сад,31.0,,Муниципальная,31.0
43,МКДОУ Голотлинский детский сад,43.0,,Муниципальная,43.0
44,МКДОУ Кочубейский дсСолнышко,75.0,,Муниципальная,75.0
45,МКДОУ Карабаглинский дс Радуга,20.0,,Муниципальная,20.0
46,МКДОУ НовоРомановский дс Колокольчикна кап. рем.,,,Муниципальная,0.0
47,МКОУ Коктюбейская ООШ дс Золотая рыбка,16.0,,Муниципальная,16.0
48,МКДОУ Таловский дсИвушка,23.0,,Муниципальная,23.0
49,МКДОУ Рассветовский дс Гнездышко,24.0,,Муниципальная,24.0
50,МКДОУ Раздольевский дс Аленушка,23.0,,Муниципальная,23.0
51,МКДОУ НовоДмитриевский дс Солнышко,40.0,,Муниципальная,40.0
52,МКДОУ Кочубейский дс Чебурашка,75.0,,Муниципальная,75.0
53,МКДОУ Калиновский дс Теремок,21.0,,Муниципальная,21.0
54,МКДОУ АлександроНевский дс Колокольчик,45.0,,Муниципальная,45.0
55,МКДОУ Тарумовский дс Тополек,203.0,,Муниципальная,203.0
56,МКДОУ НовоГеоргиевский дс Аленка,26.0,,Муниципальная,26.0
57,МКОУ Прогимназия Орленок с.Бабаюрт,188.0,,Муниципальная,188.0
58,МКДОУ ясли сад Солнышко с.Бабаюрт,180.0,,Муниципальная,180.0
59,МКДОУ детясли лочка с.Бабаюрт,73.0,,Муниципальная,73.0
60,МКДОУ детский сад Ласточка с. Татаюрт,100.0,,Муниципальная,100.0
61,МКДОУ детский сад Соколенок с.Геметюбе,58.0,,Муниципальная,58.0
62,МКДОУ детский сад Буратино с.Уцмиюрт120 м,,,Муниципальная,120.0
63,МКДОУ детский сад Радуга с.Хасанай,72.0,,Муниципальная,72.0
64,МКДОУ детский сад  Дружба с.Бабаюрт,104.0,,Муниципальная,104.0
65,МКДОУ детский сад Сказка с.Хамаматюрт,100.0,,Муниципальная,100.0
66,МКОУ Гунзибская ООШ Бежтинский участок ГКП,,,Муниципальная,3.0
67,МКОУ Гарбутлинская СОШ Бежтинский участок ГКП,,,Муниципальная,7.0
68,МКОУ Нахадинская СОШ Бежтинский участок ГКП,,,Муниципальная,16.0
69,ДС №7 Олень при МКОУ Шауринская СОШ,16.0,,Муниципальная,16.0
70,ДС №18 Звездочка при МКОУ Китуринская СОШ,16.0,,Муниципальная,16.0
71,ДС №16 Роза при МКОУ Шапихская СОШ,16.0,,Муниципальная,16.0
72,МКОУ Сагадинская СОШ гкп,,,Муниципальная,6.0
73,ДС №8 Ветер при МКОУ Хебатлинская СОШ,16.0,,Муниципальная,16.0
74,МКОУ Хупринская  СОШ гкп,,,Муниципальная,5.0
75,МКОУ Зехидинская ООШ гкп,,,Муниципальная,11.0
76,МКОУ Ретлобская СОШ ДС №11 Заря с.Ретлоб,34.0,,Муниципальная,34.0
77,МКОУ Балакуринская СОШ Бежтинский участок ГКП,,,Муниципальная,33.0
78,МКОУ Асахская СОШ гкп с.Удок,,,Муниципальная,9.0
79,МКОУ Цебаринская СОШ гкп,,,Муниципальная,6.0
80,ДС №15 Перевал при МКОУ Хуприская СОШ,16.0,,Муниципальная,16.0
81,ДС Улыбка при МКОУ Хашархотинская СОШ Бежтинский участок,19.0,,Муниципальная,19.0
82,МКОУ Гутатлинская СОШ гкп с.Гутатли,,,Муниципальная,12.0
83,МКДОУ ДС №4 Ласточка с.Цунта,32.0,,Муниципальная,32.0
84,МКОУ Тлядльская СОШ Бежтинский участок ГКП,,,Муниципальная,10.0
85,МКДОУ Бежтинский детский яслисад №1,90.0,,Муниципальная,90.0
86,ДС №2 Солнышко при МКОУ Кидеринская СОШ,32.0,,Муниципальная,32.0
87,ДС №14 Волна при МКОУ Междуреченская СОШ с. Китлярата,16.0,,Муниципальная,16.0
88,МКОУ Махалатлинаская СОШ ДС №12 Высота с.Махалатли,21.0,,Муниципальная,21.0
89,МКДОУ Детский сад №2 Надежда с. Бежта,,,Муниципальная,110.0
90,ДС №13 Патриотка при МКОУ Хутрахская СОШ,16.0,,Муниципальная,16.0
91,ДС №1 Березка при МКОУ Генухская СОШ,16.0,,Муниципальная,16.0
92,МКОУ Бежтинская СОШ Бежтинский участок гкп,,,Муниципальная,41.0
93,ДС №9 Южанка при МКОУ Мококская СОШ,16.0,,Муниципальная,16.0
94,ДС №5 Сосна при МКОУ Шаитлинская СОШ,16.0,,Муниципальная,16.0
95,МКОУ Хибиятлинская СОШ гкп с.Хибиятлидеят.приост.,,,Муниципальная,10.0
96,МКДОУ Дс №7 Красная шапочка,70.0,,Муниципальная,70.0
97,МКДОУ Дс №2 Ласточка,160.0,,Муниципальная,160.0
98,МКДОУ ЦРР дс №8 Радуга,200.0,,Муниципальная,200.0
99,МКОУ СОШ №9 гкпдеят.приост.,,,Муниципальная,18.0
100,МКДОУЦРР дс №4 Светлячок,351.0,,Муниципальная,351.0
101,МКОУ СОШ №4 гкпдеят.приост.,,,Муниципальная,12.0
102,МКДОУ дс №5 Теремок,277.0,,Муниципальная,277.0
103,МКОУ СОШ №8 гкпдеят.приост.,,,Муниципальная,30.0
104,МКДОУ ЦРР дс №3 Дюймовочка,111.0,,Муниципальная,111.0
105,МКДОУ ЦРР дс №6 Чебурашка,405.0,,Муниципальная,405.0
106,МКДОУ дс №9 Колосок,123.0,,Муниципальная,123.0
107,МКДОУ Дс №1 Солнышко,163.0,,Муниципальная,163.0
108,МКДОУ ДС №11 Колокольчик,,,Муниципальная,204.0
109,МКДОУ дс №10 №Энергетик,125.0,,Муниципальная,125.0
110,МКОУ СОШ №7 гкпдеят.приост.,,,Муниципальная,36.0
111,МКОУ СОШ №3 гкпдеят. приостан.,,,Муниципальная,0.0
112,МКОУ Гимназия №5 гкпдеят.приост.,,,Муниципальная,25.0
113,МКОУ Гимназия №1 гкпдеят.приост.,,,Муниципальная,37.0
114,МКОУ СОШ №2 гкпдеят.приост.,,,Муниципальная,15.0
115,МБДОУ Тадмагитлинский детский сад Орленок,100.0,,Муниципальная,100.0
116,МБДОУ Изанинский детский сад Орленок,32.0,,Муниципальная,32.0
117,МБДОУ Тукитинский детский сад Радуга,44.0,,Муниципальная,44.0
118,МБДОУ Ингердахский детский сад Радость,48.0,,Муниципальная,48.0
119,МБДОУ Тлибишинский детский сад Соколенок,54.0,,Муниципальная,54.0
120,МБДОУ Каратинский детский сад Улыбка,63.0,,Муниципальная,63.0
121,МБДОУ Цолодинский детский сад Улыбка,39.0,,Муниципальная,39.0
122,МБДОУ Местерухский детский сад,36.0,,Муниципальная,36.0
123,МБДОУ Лологонитлинский детский сад Тархо,40.0,,Муниципальная,40.0
124,МБДОУ Кудиябросинский детский сад Ласточка,60.0,,Муниципальная,60.0
125,МБДОУ Каратинский детский сад Солнышко,136.0,,Муниципальная,136.0
126,дс при МКОУ Аргванинская СОШ дошк. гр.,4.0,,Муниципальная,4.0
127,МКОУ Кунзахская ООШ дошк. гр.,17.0,,Муниципальная,17.0
128,МКДОУ Детский сад Ромашка с.Игали,112.0,,Муниципальная,112.0
129,МКОУ Ингишинская СОШ  дошк. гр.,17.0,,Муниципальная,17.0
130,МКДОУ Детский сад Чебурашка с. Килятль,49.0,,Муниципальная,49.0
131,МКДОУ Детский сад Улыбка с.Н.Инхо,41.0,,Муниципальная,41.0
132,МКДОУ Детский сад Солнышко с.Мехельта,140.0,,Муниципальная,140.0
133,МКДОУ Детский сад Радуга с.Чирката,95.0,,Муниципальная,95.0
134,МКДОУ Детский сад Ласточка с.Тлярата,28.0,,Муниципальная,28.0
135,МКДОУ Детский сад Колобок с.НовоАргвани,69.0,,Муниципальная,69.0
136,МКОУ Цанатлинская ООШ дошк. гр.,8.0,,Муниципальная,8.0
137,МКОУ Тантаринская НОШ дошк. гр.,15.0,,Муниципальная,15.0
138,МКОУ ВАрадерихская НОШ дошк. гр.,6.0,,Муниципальная,6.0
139,МКОУ Арадирихская СОШ дошк. гр.,15.0,,Муниципальная,15.0
140,МКОУ Данухская СОШ дошк. гр.деят. приост,,,Муниципальная,0.0
